sample;Achromobacter;Acidovorax;Acinetobacter;Alicycliphilus;Alishewanella;Aquabacterium;Burkholderia.Caballeronia.Paraburkholderia;Carnobacterium;Cellvibrio;Comamonadaceae;Curvibacter;Dechloromonas;Delftia;Desulfovermiculus;Dialister;Diaphorobacter;Domibacillus;Enhydrobacter;Enterobacter;Enterobacteriaceae;Erwinia;Erwiniaceae;Escherichia.Shigella;Facklamia;Hydrogenophilus;Jeotgalicoccus;KCM.B.112;Klebsiella;Kosakonia;Lactobacillus;Luteimonas;Lysobacter;Massilia;Mitochondria;Mitsuokella;Mycoplasma;Neisseriaceae;Ottowia;Pantoea;Planococcus;Proteus;Pseudomonas;Rhizobacter;Rhodoferax;Rubrobacter;Schlegelella;Serratia;Sporosarcina;Staphylococcus;Stenotrophomonas;Streptococcus;Thermomonas;Turicibacter;Ureaplasma;Veillonella
VERDY17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116332.3853;0
VERDY18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1060.717894;0;5895.143682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15502.79999;0;0;0;0;0;0;0;0;5221.995787;0;0;0;0
VERDY19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11462.7464;0;0;0;0;0;0;3412.381113;0;0;0;0;0;0
VERDY2;0;0;0;0;0;342.2755517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191.9302159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;797.7099598;0;3068.284399;0;1770.956096;0;0;0;0
VERDY20;0;0;0;0;0;0;0;0;0;2056.611599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2162.308536;0;3767.468809;0;0;0;0;0;0;0;0;0;6633.826438;0;0;0;0;302.7590246;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY21;0;2738.1609;1801.835765;0;0;0;0;0;0;11629.31555;0;1077.954147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5932.68195;0;0;0;4241.002084;1007.139641;0;794.6961233;0;0;0;0;0;0;0;0;1751.406833;0
VERDY23;0;0;4986.452766;14024.3984;0;0;0;0;0;0;2493.226383;0;0;0;0;1825.397887;0;0;0;0;9705.774133;0;0;0;0;0;0;0;0;55741.41842;0;0;1869.919787;0;0;0;0;0;3695.317675;0;0;20702.68336;0;0;0;0;0;0;2270.616884;0;0;0;0;19426.00614;0
VERDY24;0;0;433.7440207;0;0;409.0113829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1618.695771;0;779.2626618;1349.884091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1366.939667;0;0;0;0;0;0
VERDY3;0;0;0;518.3729727;258.3231709;1298.81015;0;0;0;0;0;0;0;0;0;270.8998486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;847.1043157;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY33;4481.741551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5355.79516;0;0;0;0;380.0233084;0;3840.768904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4963.104408;0;0;0;0;0;2979.382738;0;0;0;0;0;0;3954.775896
VERDY34;0;0;0;0;0;0;0;0;0;0;0;0;0;1285.971815;0;0;0;0;0;281.6211123;0;0;0;0;0;0;0;0;1157.962219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.90828467;540.5782304;0;0;0;0;0
VERDY35;0;0;0;0;0;8596.040398;0;0;0;0;0;0;10438.04905;0;0;0;0;0;0;0;0;0;0;0;0;9481.656672;0;0;0;0;0;0;3432.834315;0;0;0;0;0;0;0;13731.33726;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY36;0;0;0;0;0;0;0;0;0;0;0;314.3136377;0;0;0;0;0;0;0;0;0;1590.540843;0;1200.652799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;770.2897599;0;0;0;0;0;0;1534.887724;0;0;0;0;0;0
VERDY37;0;0;0;0;0;0;0;0;267.1421056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8545.858421;0;0;0;0;0;572.6310867;0;0;0;0;0;0;0;0;0;122.8736774;0;0;0
VERDY38;0;0;0;137064.4141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18174.28695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY39;0;0;394.5383028;0;0;0;0;0;0;0;0;0;0;0;0;0;269.7553996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;744.4912536;1102.295713;0;0;0;0;0;1812.016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204310.432;0
VERDY40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2578.403066;0;0;0;0;0;0;0;0;0;0;0;1061.412295;0;0;0;0;0;0;0;0;0;0;686.5760134;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1759787.406;0;0;0;0
VERDY5;0;0;0;0;0;0;0;0;0;1035.795051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2739.405334;0;11243.82786;0;0;0;0;0;0;0;0;0
VERDY51;0;0;10166.33737;0;28465.74464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53881.58807;0;0;0;0;0;0;0;0;0;0;0;3049.901211;5591.485554;0;0;0;0;0;6608.119291;0;0;111321.3942;0;0;0;0;0;0;11691.28798;0;0;0;0;0;0
VERDY52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1850989.462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;841296.5883;0
VERDY53;0;0;1519.649491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1836.00775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3822.285672;0;0
VERDY54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3729.444656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15024.77089;0;0;0;12900.2102;2995.783412;0;0;0;1834.15311;0;0;0;0
VERDY55;0;0;0;0;0;41.66249243;0;105.9974421;0;0;0;0;0;0;0;0;86.54062095;0;0;0;0;0;0;0;0;134.3443334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.5028097;0;0;0;0;0;0;121.9793016;0;0;0;0;0;0
VERDY6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31218.47928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55412.14543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;334622.2557;0
VERDY65;1449.793814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1925.326186;0;0;0;0;0;0
VERDY66;5436.527407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4992.536463;0;0;0;0;8728.673022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10391.27741;0;0;0;0;0;0;0
VERDY7;0;0;0;0;0;6681.366772;8880.993693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439.9253842;0;0;0;0;0;0;0;5196.618601;0;0;0;0;0;0;0;0;0;0;0;0;0
VERDY8;0;0;3265.157851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2935.750718;0;0;0;0;0;0;2707.540761;0;0;0;0;0;0
VERDY9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259888.124;0
